employee_id,full_name,gender,age,department,job_level,education,hire_date,termination_date,employment_status,termination_reason,annual_salary,performance_rating,months_since_last_promotion,monthly_overtime_hours,job_satisfaction,commute_miles,work_arrangement,training_hours_last_year
E10001,Ronald Moore,Male,26,HR,Senior,Master's,2025-10-28,,Active,,92700.0,3,10,9.4,3.7,15.6,Remote,24
E10002,Eric Williams,Male,34,Finance,Senior,PhD,2020-07-28,,Active,,129900.0,2,7,8.7,3.3,1.6,Hybrid,41
E10003,Sharon Anderson,Female,21,Customer Support,Entry,Associate Degree,2025-07-17,,Active,,40400.0,3,13,10.1,3.5,10.2,Remote,21
E10004,Ronald Garcia,Male,34,Engineering,Entry,Bachelor's,2020-05-05,,Active,,89300.0,2,7,6.6,4.1,9.7,Hybrid,3
E10005,Brian Thompson,Male,26,Operations,Associate,Associate Degree,2026-04-29,,Active,,62700.0,2,3,7.4,3.5,23.0,Hybrid,15
E10006,Mark Taylor,Male,23,Finance,Entry,Master's,2026-05-23,,Active,,70200.0,2,3,8.4,3.4,11.6,Hybrid,15
E10007,Cynthia Brown,Female,40,Engineering,Manager,Bachelor's,2019-05-20,,Active,,229900.0,2,13,3.3,3.1,2.0,Remote,28
E10008,Stephanie White,Female,38,Engineering,Lead,Bachelor's,2020-07-26,,Active,,177700.0,4,8,2.9,3.7,0.6,Hybrid,28
E10009,Barbara White,Female,35,Engineering,Manager,Bachelor's,2021-12-21,,Active,,212100.0,1,12,9.6,3.4,8.9,Hybrid,24
E10010,Stephanie Hernandez,Female,34,Sales,Senior,Master's,2023-02-05,,Active,,107300.0,3,43,5.6,2.7,3.3,Hybrid,37
E10011,Donna Torres,Female,40,Sales,Entry,Master's,2022-03-07,2024-03-03,Terminated,Involuntary - Restructuring,64000.0,2,6,15.9,2.8,5.0,Remote,24
E10012,Robert Robinson,Male,48,HR,Manager,Master's,2022-06-19,,Active,,141800.0,4,1,12.7,3.5,22.0,Onsite,36
E10013,Melissa Davis,Female,35,Operations,Manager,Master's,2025-01-06,,Active,,115400.0,3,3,13.7,4.0,1.4,Hybrid,0
E10014,Ryan White,Male,34,Engineering,Lead,Associate Degree,2020-11-28,,Active,,182200.0,3,15,10.7,3.9,9.4,Remote,17
E10015,Nicholas Jones,Male,45,Engineering,Associate,Master's,2018-12-04,,Active,,121400.0,1,77,9.6,3.0,16.7,Hybrid,0
E10016,Jonathan Wright,Male,36,Operations,Associate,Bachelor's,2023-08-11,,Active,,62300.0,1,5,5.6,2.4,15.4,Onsite,8
E10017,Barbara Allen,Female,34,Sales,Entry,Bachelor's,2019-04-14,,Active,,64700.0,2,1,12.7,3.2,2.0,Hybrid,30
E10018,Amy Lee,Female,34,HR,Lead,Bachelor's,2026-03-24,,Active,,111100.0,3,0,0.0,4.3,0.5,Remote,2
E10019,Joseph Flores,Male,38,Finance,Lead,Associate Degree,2021-06-27,,Active,,152500.0,3,17,0.0,3.3,6.4,Onsite,16
E10020,Donna Martinez,Female,30,Sales,Associate,Bachelor's,2023-12-24,,Active,,80300.0,4,7,22.7,3.7,5.4,Remote,24
E10021,Ryan Sanchez,Male,37,Sales,Senior,Master's,2024-12-20,,Active,,108900.0,4,1,23.1,3.5,14.0,Onsite,8
E10022,Anthony Young,Male,34,Finance,Manager,High School,2024-07-25,,Active,,181800.0,4,10,0.0,3.8,18.8,Hybrid,36
E10023,Nicholas Jones,Male,34,Engineering,Entry,Master's,2021-05-13,,Active,,90900.0,4,17,9.2,3.5,4.4,Onsite,18
E10024,Brian Moore,Male,32,Customer Support,Senior,Master's,2022-03-12,2024-11-06,Terminated,Involuntary - Performance,77200.0,3,19,20.3,3.3,2.9,Remote,17
E10025,Jennifer Jackson,Female,27,Finance,Associate,Bachelor's,2022-12-10,,Active,,94400.0,3,4,0.0,3.6,3.9,Remote,27
E10026,David Clark,Male,34,Engineering,Manager,Associate Degree,2026-05-05,,Active,,210600.0,4,3,10.6,3.2,0.5,Onsite,0
E10027,Sarah King,Female,43,Engineering,Lead,Bachelor's,2019-03-25,,Active,,188100.0,3,7,7.5,4.1,19.4,Remote,14
E10028,Mary Hernandez,Female,49,Marketing,Director,Bachelor's,2021-09-24,,Active,,209500.0,3,11,11.6,2.8,6.6,Remote,13
E10029,Eric Thompson,Male,33,Engineering,Manager,Bachelor's,2024-03-09,,Active,,214100.0,4,1,7.3,3.7,2.3,Onsite,20
